,result,timestamp,currentVote.answer_id,currentVote.poll_id,currentVote.voted_at,384232,384233,384234,384235
0,"[{'id': 384232, 'votes': 24177}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23137}]",2020-05-22 19:34:38.673429,384235,95679,1590168878000,24177,9034,1855,23137
1,"[{'id': 384232, 'votes': 24177}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23138}]",2020-05-22 19:34:43.484738,384235,95679,1590168883000,24177,9034,1855,23138
2,"[{'id': 384232, 'votes': 24187}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23140}]",2020-05-22 19:34:48.828497,384235,95679,1590168888000,24187,9034,1855,23140
3,"[{'id': 384232, 'votes': 24187}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23142}]",2020-05-22 19:34:53.930658,384235,95679,1590168893000,24187,9034,1855,23142
4,"[{'id': 384232, 'votes': 24187}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23143}]",2020-05-22 19:34:58.832508,384235,95679,1590168898000,24187,9034,1855,23143
5,"[{'id': 384232, 'votes': 24188}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23144}]",2020-05-22 19:35:03.363035,384235,95679,1590168903000,24188,9034,1855,23144
6,"[{'id': 384232, 'votes': 24192}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23146}]",2020-05-22 19:35:07.682112,384235,95679,1590168907000,24192,9034,1855,23146
7,"[{'id': 384232, 'votes': 24203}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23147}]",2020-05-22 19:35:12.065206,384235,95679,1590168911000,24203,9034,1855,23147
8,"[{'id': 384232, 'votes': 24203}, {'id': 384233, 'votes': 9034}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23148}]",2020-05-22 19:35:17.265630,384235,95679,1590168917000,24203,9034,1855,23148
9,"[{'id': 384232, 'votes': 24208}, {'id': 384233, 'votes': 9035}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23149}]",2020-05-22 19:35:21.718719,384235,95679,1590168921000,24208,9035,1855,23149
10,"[{'id': 384232, 'votes': 24210}, {'id': 384233, 'votes': 9035}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23150}]",2020-05-22 19:35:26.710775,384235,95679,1590168926000,24210,9035,1855,23150
11,"[{'id': 384232, 'votes': 24210}, {'id': 384233, 'votes': 9035}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23151}]",2020-05-22 19:35:30.696558,384235,95679,1590168930000,24210,9035,1855,23151
12,"[{'id': 384232, 'votes': 24210}, {'id': 384233, 'votes': 9035}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23152}]",2020-05-22 19:35:34.487727,384235,95679,1590168934000,24210,9035,1855,23152
13,"[{'id': 384232, 'votes': 24210}, {'id': 384233, 'votes': 9035}, {'id': 384234, 'votes': 1855}, {'id': 384235, 'votes': 23153}]",2020-05-22 19:35:38.004797,384235,95679,1590168937000,24210,9035,1855,23153
